book_name,book_description,book_author,category_name,book_image,book_cost,book_dislikes
The Silent Circuit,"In a future shaped by interstellar conflict, The Silent Circuit follows a small crew navigating the Ninth Colony while questioning what remains of humanity.",David Kobayashi,Sci-Fi,https://placehold.co/400x600/1b2a4a/ffffff.png?text=The%20Silent%20Circuit&font=roboto,280,0
Broken Colony,"In a future shaped by first contact, Broken Colony follows a small crew navigating a Dying Sun while questioning what remains of humanity.",Noah Rossi,Sci-Fi,https://placehold.co/400x600/1b2a4a/ffffff.png?text=Broken%20Colony&font=roboto,365,0
Horizon of Andromeda,"In a future shaped by a rogue AI, Horizon of Andromeda follows a small crew navigating Andromeda while questioning what remains of humanity.",Deborah Delacroix,Sci-Fi,https://placehold.co/400x600/1b2a4a/ffffff.png?text=Horizon%20of%20Andromeda&font=roboto,611,0
The Forgotten Machine,"In a future shaped by a rogue AI, The Forgotten Machine follows a small crew navigating the Outer Rim while questioning what remains of humanity.",Amanda Bennett,Sci-Fi,https://placehold.co/400x600/1b2a4a/ffffff.png?text=The%20Forgotten%20Machine&font=roboto,716,0
Machine of Mars,"In a future shaped by interstellar conflict, Machine of Mars follows a small crew navigating Mars while questioning what remains of humanity.",Elizabeth Morgan,Sci-Fi,https://placehold.co/400x600/1b2a4a/ffffff.png?text=Machine%20of%20Mars&font=roboto,218,0
The Dying Voyager,"In a future shaped by a collapsing empire, The Dying Voyager follows a small crew navigating the Outer Rim while questioning what remains of humanity.",Lucas Sutton,Sci-Fi,https://placehold.co/400x600/1b2a4a/ffffff.png?text=The%20Dying%20Voyager&font=roboto,834,0
Forgotten Reactor,"In a future shaped by first contact, Forgotten Reactor follows a small crew navigating Europa while questioning what remains of humanity.",Yuki Sutton,Sci-Fi,https://placehold.co/400x600/1b2a4a/ffffff.png?text=Forgotten%20Reactor&font=roboto,565,0
Signal of Andromeda,"In a future shaped by first contact, Signal of Andromeda follows a small crew navigating Andromeda while questioning what remains of humanity.",Melissa Marlow,Sci-Fi,https://placehold.co/400x600/1b2a4a/ffffff.png?text=Signal%20of%20Andromeda&font=roboto,627,0
The Rogue Drift,"In a future shaped by a collapsing empire, The Rogue Drift follows a small crew navigating the Outer Rim while questioning what remains of humanity.",Linda Hartley,Sci-Fi,https://placehold.co/400x600/1b2a4a/ffffff.png?text=The%20Rogue%20Drift&font=roboto,260,0
Machine of a Forgotten Moon,"In a future shaped by first contact, Machine of a Forgotten Moon follows a small crew navigating a Forgotten Moon while questioning what remains of humanity.",Rahul Sinclair,Sci-Fi,https://placehold.co/400x600/1b2a4a/ffffff.png?text=Machine%20of%20a%20Forgotten%20Moon&font=roboto,336,0
The Machine of the Outer Rim,"In a future shaped by unchecked technology, The Machine of the Outer Rim follows a small crew navigating the Outer Rim while questioning what remains of humanity.",Meera Petrov,Sci-Fi,https://placehold.co/400x600/1b2a4a/ffffff.png?text=The%20Machine%20of%20the%20Outer%20Rim&font=roboto,200,0
The Silent Code,"In a future shaped by first contact, The Silent Code follows a small crew navigating the Void while questioning what remains of humanity.",Nancy Kensington,Sci-Fi,https://placehold.co/400x600/1b2a4a/ffffff.png?text=The%20Silent%20Code&font=roboto,641,0
Nebula of Mars,"In a future shaped by unchecked technology, Nebula of Mars follows a small crew navigating Mars while questioning what remains of humanity.",Nancy Winters,Sci-Fi,https://placehold.co/400x600/1b2a4a/ffffff.png?text=Nebula%20of%20Mars&font=roboto,548,0
The Ascension of the Ninth Colony,"In a future shaped by a rogue AI, The Ascension of the Ninth Colony follows a small crew navigating the Ninth Colony while questioning what remains of humanity.",Joshua Marlow,Sci-Fi,https://placehold.co/400x600/1b2a4a/ffffff.png?text=The%20Ascension%20of%20the%20Ninth%20Colony&font=roboto,826,0
Quantum Machine,"In a future shaped by a rogue AI, Quantum Machine follows a small crew navigating a Dying Sun while questioning what remains of humanity.",Margaret Morgan,Sci-Fi,https://placehold.co/400x600/1b2a4a/ffffff.png?text=Quantum%20Machine&font=roboto,704,0
The Synthetic Voyager,"In a future shaped by first contact, The Synthetic Voyager follows a small crew navigating Mars while questioning what remains of humanity.",Michael Moreau,Sci-Fi,https://placehold.co/400x600/1b2a4a/ffffff.png?text=The%20Synthetic%20Voyager&font=roboto,663,0
Reactor of the Outer Rim,"In a future shaped by a rogue AI, Reactor of the Outer Rim follows a small crew navigating the Outer Rim while questioning what remains of humanity.",Lisa Reed,Sci-Fi,https://placehold.co/400x600/1b2a4a/ffffff.png?text=Reactor%20of%20the%20Outer%20Rim&font=roboto,218,0
Signal of the Void,"In a future shaped by unchecked technology, Signal of the Void follows a small crew navigating the Void while questioning what remains of humanity.",Jennifer O'Connell,Sci-Fi,https://placehold.co/400x600/1b2a4a/ffffff.png?text=Signal%20of%20the%20Void&font=roboto,578,0
The Horizon of the Void,"In a future shaped by a collapsing empire, The Horizon of the Void follows a small crew navigating the Void while questioning what remains of humanity.",Kevin Sutton,Sci-Fi,https://placehold.co/400x600/1b2a4a/ffffff.png?text=The%20Horizon%20of%20the%20Void&font=roboto,554,0
Drift of a Dying Sun,"In a future shaped by unchecked technology, Drift of a Dying Sun follows a small crew navigating a Dying Sun while questioning what remains of humanity.",Divya Callahan,Sci-Fi,https://placehold.co/400x600/1b2a4a/ffffff.png?text=Drift%20of%20a%20Dying%20Sun&font=roboto,158,0
Last Frontier,"In a future shaped by interstellar conflict, Last Frontier follows a small crew navigating the Outer Rim while questioning what remains of humanity.",Elizabeth Kobayashi,Sci-Fi,https://placehold.co/400x600/1b2a4a/ffffff.png?text=Last%20Frontier&font=roboto,667,0
The Code of the Last Station,"In a future shaped by a collapsing empire, The Code of the Last Station follows a small crew navigating the Last Station while questioning what remains of humanity.",David Sutton,Sci-Fi,https://placehold.co/400x600/1b2a4a/ffffff.png?text=The%20Code%20of%20the%20Last%20Station&font=roboto,440,0
Vessel of a Forgotten Moon,"In a future shaped by a rogue AI, Vessel of a Forgotten Moon follows a small crew navigating a Forgotten Moon while questioning what remains of humanity.",Kenneth O'Connell,Sci-Fi,https://placehold.co/400x600/1b2a4a/ffffff.png?text=Vessel%20of%20a%20Forgotten%20Moon&font=roboto,157,0
The Drift of the Outer Rim,"In a future shaped by unchecked technology, The Drift of the Outer Rim follows a small crew navigating the Outer Rim while questioning what remains of humanity.",Sarah Harrow,Sci-Fi,https://placehold.co/400x600/1b2a4a/ffffff.png?text=The%20Drift%20of%20the%20Outer%20Rim&font=roboto,258,0
Horizon of the Void,"In a future shaped by a collapsing empire, Horizon of the Void follows a small crew navigating the Void while questioning what remains of humanity.",Amanda Pierce,Sci-Fi,https://placehold.co/400x600/1b2a4a/ffffff.png?text=Horizon%20of%20the%20Void&font=roboto,666,0
Crimson Code,"In a future shaped by a collapsing empire, Crimson Code follows a small crew navigating Mars while questioning what remains of humanity.",Barbara Marlow,Sci-Fi,https://placehold.co/400x600/1b2a4a/ffffff.png?text=Crimson%20Code&font=roboto,194,0
The Frozen Ascension,"In a future shaped by first contact, The Frozen Ascension follows a small crew navigating Europa while questioning what remains of humanity.",Kimberly Ellison,Sci-Fi,https://placehold.co/400x600/1b2a4a/ffffff.png?text=The%20Frozen%20Ascension&font=roboto,713,0
Broken Star,"In a future shaped by a rogue AI, Broken Star follows a small crew navigating the Outer Rim while questioning what remains of humanity.",Elizabeth Whitfield,Sci-Fi,https://placehold.co/400x600/1b2a4a/ffffff.png?text=Broken%20Star&font=roboto,185,0
The Reactor of Europa,"In a future shaped by unchecked technology, The Reactor of Europa follows a small crew navigating Europa while questioning what remains of humanity.",Vikram Sinclair,Sci-Fi,https://placehold.co/400x600/1b2a4a/ffffff.png?text=The%20Reactor%20of%20Europa&font=roboto,464,0
The Code of Mars,"In a future shaped by interstellar conflict, The Code of Mars follows a small crew navigating Mars while questioning what remains of humanity.",Melissa Pierce,Sci-Fi,https://placehold.co/400x600/1b2a4a/ffffff.png?text=The%20Code%20of%20Mars&font=roboto,831,0
Last Circuit,"In a future shaped by interstellar conflict, Last Circuit follows a small crew navigating Europa while questioning what remains of humanity.",Steven Ellison,Sci-Fi,https://placehold.co/400x600/1b2a4a/ffffff.png?text=Last%20Circuit&font=roboto,571,0
The Quantum Circuit,"In a future shaped by a collapsing empire, The Quantum Circuit follows a small crew navigating the Last Station while questioning what remains of humanity.",Kavya Sutton,Sci-Fi,https://placehold.co/400x600/1b2a4a/ffffff.png?text=The%20Quantum%20Circuit&font=roboto,312,0
The Hollow Vessel,"In a future shaped by interstellar conflict, The Hollow Vessel follows a small crew navigating Mars while questioning what remains of humanity.",Yuki Lockhart,Sci-Fi,https://placehold.co/400x600/1b2a4a/ffffff.png?text=The%20Hollow%20Vessel&font=roboto,620,0
The Vessel of the Void,"In a future shaped by interstellar conflict, The Vessel of the Void follows a small crew navigating the Void while questioning what remains of humanity.",Donald Bennett,Sci-Fi,https://placehold.co/400x600/1b2a4a/ffffff.png?text=The%20Vessel%20of%20the%20Void&font=roboto,557,0
The Vessel of the Outer Rim,"In a future shaped by a rogue AI, The Vessel of the Outer Rim follows a small crew navigating the Outer Rim while questioning what remains of humanity.",Emily Thorne,Sci-Fi,https://placehold.co/400x600/1b2a4a/ffffff.png?text=The%20Vessel%20of%20the%20Outer%20Rim&font=roboto,558,0
The Signal of a Dying Sun,"In a future shaped by a collapsing empire, The Signal of a Dying Sun follows a small crew navigating a Dying Sun while questioning what remains of humanity.",Matthew Moreau,Sci-Fi,https://placehold.co/400x600/1b2a4a/ffffff.png?text=The%20Signal%20of%20a%20Dying%20Sun&font=roboto,188,0
The Last Nebula,"In a future shaped by a rogue AI, The Last Nebula follows a small crew navigating the Last Station while questioning what remains of humanity.",Kevin Marlow,Sci-Fi,https://placehold.co/400x600/1b2a4a/ffffff.png?text=The%20Last%20Nebula&font=roboto,672,0
The Hollow Code,"In a future shaped by first contact, The Hollow Code follows a small crew navigating the Void while questioning what remains of humanity.",Paul Hayes,Sci-Fi,https://placehold.co/400x600/1b2a4a/ffffff.png?text=The%20Hollow%20Code&font=roboto,150,0
Nebula of the Outer Rim,"In a future shaped by a collapsing empire, Nebula of the Outer Rim follows a small crew navigating the Outer Rim while questioning what remains of humanity.",Brian O'Connell,Sci-Fi,https://placehold.co/400x600/1b2a4a/ffffff.png?text=Nebula%20of%20the%20Outer%20Rim&font=roboto,828,0
The Synthetic Code,"In a future shaped by first contact, The Synthetic Code follows a small crew navigating a Dying Sun while questioning what remains of humanity.",Sofia Ashford,Sci-Fi,https://placehold.co/400x600/1b2a4a/ffffff.png?text=The%20Synthetic%20Code&font=roboto,483,0
Synthetic Horizon,"In a future shaped by first contact, Synthetic Horizon follows a small crew navigating a Forgotten Moon while questioning what remains of humanity.",Thomas Doyle,Sci-Fi,https://placehold.co/400x600/1b2a4a/ffffff.png?text=Synthetic%20Horizon&font=roboto,829,0
Rogue Circuit,"In a future shaped by a rogue AI, Rogue Circuit follows a small crew navigating Europa while questioning what remains of humanity.",Kenneth Hartley,Sci-Fi,https://placehold.co/400x600/1b2a4a/ffffff.png?text=Rogue%20Circuit&font=roboto,149,0
The Machine of Andromeda,"In a future shaped by first contact, The Machine of Andromeda follows a small crew navigating Andromeda while questioning what remains of humanity.",Carol Osei,Sci-Fi,https://placehold.co/400x600/1b2a4a/ffffff.png?text=The%20Machine%20of%20Andromeda&font=roboto,601,0
Republic of Medieval Europe,"Drawing on newly examined archives, Republic of Medieval Europe traces the events of Medieval Europe, revealing how ordinary lives were shaped by decisions made in halls of power.",William Redwood,History,https://placehold.co/400x600/5b3a29/ffffff.png?text=Republic%20of%20Medieval%20Europe&font=roboto,676,0
The Siege of Colonial America,"Drawing on newly examined archives, The Siege of Colonial America traces the events of Colonial America, revealing how ordinary lives were shaped by decisions made in halls of power.",Donald Doyle,History,https://placehold.co/400x600/5b3a29/ffffff.png?text=The%20Siege%20of%20Colonial%20America&font=roboto,299,0
The Forgotten Siege,"Drawing on newly examined archives, The Forgotten Siege traces the events of Renaissance Florence, revealing how ordinary lives were shaped by decisions made in halls of power.",Elizabeth Osei,History,https://placehold.co/400x600/5b3a29/ffffff.png?text=The%20Forgotten%20Siege&font=roboto,573,0
Reckoning of the Pacific Theatre,"Drawing on newly examined archives, Reckoning of the Pacific Theatre traces the events of the Pacific Theatre, revealing how ordinary lives were shaped by decisions made in halls of power.",Mateo Hartley,History,https://placehold.co/400x600/5b3a29/ffffff.png?text=Reckoning%20of%20the%20Pacific%20Theatre&font=roboto,398,0
Reckoning of Ancient Rome,"Drawing on newly examined archives, Reckoning of Ancient Rome traces the events of Ancient Rome, revealing how ordinary lives were shaped by decisions made in halls of power.",Susan Marlow,History,https://placehold.co/400x600/5b3a29/ffffff.png?text=Reckoning%20of%20Ancient%20Rome&font=roboto,373,0
Frontier of Renaissance Florence,"Drawing on newly examined archives, Frontier of Renaissance Florence traces the events of Renaissance Florence, revealing how ordinary lives were shaped by decisions made in halls of power.",Michael Petrov,History,https://placehold.co/400x600/5b3a29/ffffff.png?text=Frontier%20of%20Renaissance%20Florence&font=roboto,404,0
The Lost Dynasty,"Drawing on newly examined archives, The Lost Dynasty traces the events of Renaissance Florence, revealing how ordinary lives were shaped by decisions made in halls of power.",Noah Petrov,History,https://placehold.co/400x600/5b3a29/ffffff.png?text=The%20Lost%20Dynasty&font=roboto,758,0
The Chronicle of the Pacific Theatre,"Drawing on newly examined archives, The Chronicle of the Pacific Theatre traces the events of the Pacific Theatre, revealing how ordinary lives were shaped by decisions made in halls of power.",Rahul Ellison,History,https://placehold.co/400x600/5b3a29/ffffff.png?text=The%20Chronicle%20of%20the%20Pacific%20Theatre&font=roboto,635,0
Turbulent Siege,"Drawing on newly examined archives, Turbulent Siege traces the events of Colonial America, revealing how ordinary lives were shaped by decisions made in halls of power.",Chiara Iyer,History,https://placehold.co/400x600/5b3a29/ffffff.png?text=Turbulent%20Siege&font=roboto,790,0
Republic of the Silk Road,"Drawing on newly examined archives, Republic of the Silk Road traces the events of the Silk Road, revealing how ordinary lives were shaped by decisions made in halls of power.",Joshua Sutton,History,https://placehold.co/400x600/5b3a29/ffffff.png?text=Republic%20of%20the%20Silk%20Road&font=roboto,427,0
The Frontier of the Silk Road,"Drawing on newly examined archives, The Frontier of the Silk Road traces the events of the Silk Road, revealing how ordinary lives were shaped by decisions made in halls of power.",Sarah Whitfield,History,https://placehold.co/400x600/5b3a29/ffffff.png?text=The%20Frontier%20of%20the%20Silk%20Road&font=roboto,385,0
Shattered Dynasty,"Drawing on newly examined archives, Shattered Dynasty traces the events of the Ottoman Court, revealing how ordinary lives were shaped by decisions made in halls of power.",David Kensington,History,https://placehold.co/400x600/5b3a29/ffffff.png?text=Shattered%20Dynasty&font=roboto,566,0
The Republic of the Pacific Theatre,"Drawing on newly examined archives, The Republic of the Pacific Theatre traces the events of the Pacific Theatre, revealing how ordinary lives were shaped by decisions made in halls of power.",Linda Pierce,History,https://placehold.co/400x600/5b3a29/ffffff.png?text=The%20Republic%20of%20the%20Pacific%20Theatre&font=roboto,579,0
Final Reckoning,"Drawing on newly examined archives, Final Reckoning traces the events of Ancient Rome, revealing how ordinary lives were shaped by decisions made in halls of power.",Ronald Sharma,History,https://placehold.co/400x600/5b3a29/ffffff.png?text=Final%20Reckoning&font=roboto,155,0
The Kingdom of the Pacific Theatre,"Drawing on newly examined archives, The Kingdom of the Pacific Theatre traces the events of the Pacific Theatre, revealing how ordinary lives were shaped by decisions made in halls of power.",Freya Kobayashi,History,https://placehold.co/400x600/5b3a29/ffffff.png?text=The%20Kingdom%20of%20the%20Pacific%20Theatre&font=roboto,766,0
Siege of Colonial America,"Drawing on newly examined archives, Siege of Colonial America traces the events of Colonial America, revealing how ordinary lives were shaped by decisions made in halls of power.",Vikram Iyer,History,https://placehold.co/400x600/5b3a29/ffffff.png?text=Siege%20of%20Colonial%20America&font=roboto,178,0
Ancient Legacy,"Drawing on newly examined archives, Ancient Legacy traces the events of the Pacific Theatre, revealing how ordinary lives were shaped by decisions made in halls of power.",Nancy Osei,History,https://placehold.co/400x600/5b3a29/ffffff.png?text=Ancient%20Legacy&font=roboto,279,0
The Vanished Chronicle,"Drawing on newly examined archives, The Vanished Chronicle traces the events of Ancient Rome, revealing how ordinary lives were shaped by decisions made in halls of power.",William Marlow,History,https://placehold.co/400x600/5b3a29/ffffff.png?text=The%20Vanished%20Chronicle&font=roboto,287,0
Hidden Empire,"Drawing on newly examined archives, Hidden Empire traces the events of Colonial America, revealing how ordinary lives were shaped by decisions made in halls of power.",Ronald Callahan,History,https://placehold.co/400x600/5b3a29/ffffff.png?text=Hidden%20Empire&font=roboto,365,0
Ancient Uprising,"Drawing on newly examined archives, Ancient Uprising traces the events of the Pacific Theatre, revealing how ordinary lives were shaped by decisions made in halls of power.",Emily Kensington,History,https://placehold.co/400x600/5b3a29/ffffff.png?text=Ancient%20Uprising&font=roboto,407,0
The Lost Empire,"Drawing on newly examined archives, The Lost Empire traces the events of Ancient Rome, revealing how ordinary lives were shaped by decisions made in halls of power.",George Lockhart,History,https://placehold.co/400x600/5b3a29/ffffff.png?text=The%20Lost%20Empire&font=roboto,814,0
The Golden Empire,"Drawing on newly examined archives, The Golden Empire traces the events of Ancient Rome, revealing how ordinary lives were shaped by decisions made in halls of power.",Ashley Doyle,History,https://placehold.co/400x600/5b3a29/ffffff.png?text=The%20Golden%20Empire&font=roboto,169,0
Dynasty of Renaissance Florence,"Drawing on newly examined archives, Dynasty of Renaissance Florence traces the events of Renaissance Florence, revealing how ordinary lives were shaped by decisions made in halls of power.",Joseph Andersen,History,https://placehold.co/400x600/5b3a29/ffffff.png?text=Dynasty%20of%20Renaissance%20Florence&font=roboto,372,0
Shattered Crossing,"Drawing on newly examined archives, Shattered Crossing traces the events of the Byzantine Empire, revealing how ordinary lives were shaped by decisions made in halls of power.",Nancy Rossi,History,https://placehold.co/400x600/5b3a29/ffffff.png?text=Shattered%20Crossing&font=roboto,770,0
The Hidden Crossing,"Drawing on newly examined archives, The Hidden Crossing traces the events of the Silk Road, revealing how ordinary lives were shaped by decisions made in halls of power.",Patricia Ashford,History,https://placehold.co/400x600/5b3a29/ffffff.png?text=The%20Hidden%20Crossing&font=roboto,738,0
Vanished Reckoning,"Drawing on newly examined archives, Vanished Reckoning traces the events of the Ottoman Court, revealing how ordinary lives were shaped by decisions made in halls of power.",Elizabeth Moreau,History,https://placehold.co/400x600/5b3a29/ffffff.png?text=Vanished%20Reckoning&font=roboto,856,0
Reckoning of Colonial America,"Drawing on newly examined archives, Reckoning of Colonial America traces the events of Colonial America, revealing how ordinary lives were shaped by decisions made in halls of power.",Jessica Andersen,History,https://placehold.co/400x600/5b3a29/ffffff.png?text=Reckoning%20of%20Colonial%20America&font=roboto,191,0
The Kingdom of the Byzantine Empire,"Drawing on newly examined archives, The Kingdom of the Byzantine Empire traces the events of the Byzantine Empire, revealing how ordinary lives were shaped by decisions made in halls of power.",David Kapoor,History,https://placehold.co/400x600/5b3a29/ffffff.png?text=The%20Kingdom%20of%20the%20Byzantine%20Empire&font=roboto,812,0
The Kingdom of Renaissance Florence,"Drawing on newly examined archives, The Kingdom of Renaissance Florence traces the events of Renaissance Florence, revealing how ordinary lives were shaped by decisions made in halls of power.",Susan Marlow,History,https://placehold.co/400x600/5b3a29/ffffff.png?text=The%20Kingdom%20of%20Renaissance%20Florence&font=roboto,519,0
Frontier of Colonial America,"Drawing on newly examined archives, Frontier of Colonial America traces the events of Colonial America, revealing how ordinary lives were shaped by decisions made in halls of power.",Freya Sharma,History,https://placehold.co/400x600/5b3a29/ffffff.png?text=Frontier%20of%20Colonial%20America&font=roboto,625,0
Shattered Chronicle,"Drawing on newly examined archives, Shattered Chronicle traces the events of Colonial America, revealing how ordinary lives were shaped by decisions made in halls of power.",Carol Sutton,History,https://placehold.co/400x600/5b3a29/ffffff.png?text=Shattered%20Chronicle&font=roboto,237,0
The Siege of Renaissance Florence,"Drawing on newly examined archives, The Siege of Renaissance Florence traces the events of Renaissance Florence, revealing how ordinary lives were shaped by decisions made in halls of power.",Ronald Merrick,History,https://placehold.co/400x600/5b3a29/ffffff.png?text=The%20Siege%20of%20Renaissance%20Florence&font=roboto,178,0
Ancient Dynasty,"Drawing on newly examined archives, Ancient Dynasty traces the events of Renaissance Florence, revealing how ordinary lives were shaped by decisions made in halls of power.",Margaret Thorne,History,https://placehold.co/400x600/5b3a29/ffffff.png?text=Ancient%20Dynasty&font=roboto,413,0
The Chronicle of Colonial America,"Drawing on newly examined archives, The Chronicle of Colonial America traces the events of Colonial America, revealing how ordinary lives were shaped by decisions made in halls of power.",Mary Nakamura,History,https://placehold.co/400x600/5b3a29/ffffff.png?text=The%20Chronicle%20of%20Colonial%20America&font=roboto,344,0
The Silent Reckoning,"Drawing on newly examined archives, The Silent Reckoning traces the events of the Pacific Theatre, revealing how ordinary lives were shaped by decisions made in halls of power.",Elena Petrov,History,https://placehold.co/400x600/5b3a29/ffffff.png?text=The%20Silent%20Reckoning&font=roboto,395,0
Golden Reckoning,"Drawing on newly examined archives, Golden Reckoning traces the events of Renaissance Florence, revealing how ordinary lives were shaped by decisions made in halls of power.",Rahul Bennett,History,https://placehold.co/400x600/5b3a29/ffffff.png?text=Golden%20Reckoning&font=roboto,244,0
The Kingdom of the Ottoman Court,"Drawing on newly examined archives, The Kingdom of the Ottoman Court traces the events of the Ottoman Court, revealing how ordinary lives were shaped by decisions made in halls of power.",Michelle Moreau,History,https://placehold.co/400x600/5b3a29/ffffff.png?text=The%20Kingdom%20of%20the%20Ottoman%20Court&font=roboto,526,0
Rising Frontier,"Drawing on newly examined archives, Rising Frontier traces the events of the Byzantine Empire, revealing how ordinary lives were shaped by decisions made in halls of power.",Ananya Petrov,History,https://placehold.co/400x600/5b3a29/ffffff.png?text=Rising%20Frontier&font=roboto,487,0
The Republic of Colonial America,"Drawing on newly examined archives, The Republic of Colonial America traces the events of Colonial America, revealing how ordinary lives were shaped by decisions made in halls of power.",Michelle Harrow,History,https://placehold.co/400x600/5b3a29/ffffff.png?text=The%20Republic%20of%20Colonial%20America&font=roboto,385,0
The Shattered Siege,"Drawing on newly examined archives, The Shattered Siege traces the events of the Byzantine Empire, revealing how ordinary lives were shaped by decisions made in halls of power.",Jessica Kobayashi,History,https://placehold.co/400x600/5b3a29/ffffff.png?text=The%20Shattered%20Siege&font=roboto,855,0
